mode,design,method,block,term,estimate,se
A1C,primary_no_usualcare,OBS_ZIB,alpha,const,1.760146807015841,0.7689129822767078
A1C,primary_no_usualcare,OBS_ZIB,alpha,AGE_YEARS_Z,2.944326027405566,0.6628275418621067
A1C,primary_no_usualcare,OBS_ZIB,alpha,BMI_Z,-0.17747587211250265,0.2021286433348024
A1C,primary_no_usualcare,OBS_ZIB,alpha,FEMALE,1.1352756095689505,0.55602053937908
A1C,primary_no_usualcare,OBS_ZIB,beta,const,-1.7340290865302226,0.18534585888444374
A1C,primary_no_usualcare,OBS_ZIB,beta,INSURED,0.1644587899029886,0.14725238552063993
A1C,primary_no_usualcare,OBS_ZIB,beta,AGE_YEARS_Z,0.6359218719844177,0.10637781017046256
A1C,primary_no_usualcare,OBS_ZIB,beta,BMI_Z,0.6537759473460295,0.07214562509591448
A1C,primary_no_usualcare,OBS_ZIB,beta,FEMALE,-0.6680719015913217,0.0891719190769192
A1C,primary_no_usualcare,PR_MLE_corrected,alpha,const,-1.918481455808243,0.05193761097916513
A1C,primary_no_usualcare,PR_MLE_corrected,alpha,AGE_YEARS_Z,1.0269926063340924,0.04155131585250152
A1C,primary_no_usualcare,PR_MLE_corrected,alpha,BMI_Z,0.644594926659195,0.03529181347125294
A1C,primary_no_usualcare,PR_MLE_corrected,alpha,FEMALE,-0.43376794942084157,0.07095940379413215
A1C,primary_no_usualcare,PR_MLE_corrected,beta,const,1.0618860889290673,0.24582005590921746
A1C,primary_no_usualcare,PR_MLE_corrected,beta,INSURED,1.1505374594577795,0.24977154031415397
A1C,primary_no_usualcare,PR_MLE_corrected,beta,AGE_YEARS_Z,0.3811305260464628,0.12218693902782743
A1C,primary_no_usualcare,PR_MLE_corrected,beta,BMI_Z,-0.1021808298568252,0.0874142807595307
A1C,primary_no_usualcare,PR_MLE_corrected,beta,FEMALE,-0.6498621208156593,0.18813200701903365
A1C,primary_no_usualcare,DR_CF_empirical_m,alpha,const,-1.918705269892794,0.07358209605664023
A1C,primary_no_usualcare,DR_CF_empirical_m,alpha,AGE_YEARS_Z,1.0275324448673802,0.04903702054048645
A1C,primary_no_usualcare,DR_CF_empirical_m,alpha,BMI_Z,0.6434682875292708,0.04758760620804403
A1C,primary_no_usualcare,DR_CF_empirical_m,alpha,FEMALE,-0.43324296804941465,0.10030825086433268
