mode,design,method,success,objective,condition,max_abs_coef,score_norm_alpha,score_norm_beta
A1C,primary_no_usualcare,OBS_ZIB,True,2432.3581320267317,2055.5174796307138,2.944326027405566,,
A1C,primary_no_usualcare,PR_MLE_corrected,True,3104.7140173080397,161.62873328841593,1.918481455808243,,
A1C,primary_no_usualcare,DR_CF_empirical_m,True,,159.00170355064805,1.918705269892794,1.338235238974648e-14,2.0802242293748145e-15
A1C,primary_no_usualcare,DR_CF_structural_m,True,,158.92480956866822,1.9186004909842633,3.770745892643625e-15,1.1259272570460362e-15
A1C,full_covariate,OBS_ZIB,True,2432.119695081762,26076.10896619171,2.9243674003533897,,
A1C,full_covariate,PR_MLE_corrected,True,3103.1450177167226,971.0999193832324,19.775614121368132,,
A1C,full_covariate,DR_CF_empirical_m,True,,921724231565.2306,19.776057732420103,1.9291511200208182e-14,4.2522630745466695e-11
A1C,full_covariate,DR_CF_structural_m,True,,922860271316.2559,19.77596086685698,3.666332898541814e-15,1.884808020826886e-12
FPG,primary_no_usualcare,OBS_ZIB,True,1207.282431086747,781.0434817092984,2.1170970988461986,,
FPG,primary_no_usualcare,PR_MLE_corrected,True,1724.7380489161578,127.53529261956709,1.7372328338040997,,
FPG,primary_no_usualcare,DR_CF_empirical_m,True,,127.53566469189887,1.7372325720104365,7.29832085882512e-18,6.695500392190643e-18
FPG,primary_no_usualcare,DR_CF_structural_m,True,,127.53566319453756,1.737232571628756,2.4613496071844864e-17,3.511637694483847e-18
FPG,full_covariate,OBS_ZIB,True,1206.8679352761483,7795.81529189866,2.1466899600374676,,
FPG,full_covariate,PR_MLE_corrected,True,1724.3197052579815,16222.853389911828,2.1468127824752012,,
FPG,full_covariate,DR_CF_empirical_m,True,,16222.325856759928,2.1468189396125252,1.678648071107282e-17,8.221185462215321e-18
FPG,full_covariate,DR_CF_structural_m,True,,16222.32184643469,2.1468186703223875,3.61901952494729e-17,4.510723750884311e-18
