mode,design,method,observed_weighted_PY1,observed_weighted_rho,observed_weighted_q,rough_PS_anchor_PY1_plus_PY0q,model_mean_pi,model_mean_pi_mu,model_recognition_among_S1,model_mtheta_among_revealed_zeros,model_mtheta_among_all_zeros,AIPW_mean_S,AIPW_Se_min,AIPW_Se_q01,AIPW_Se_q99,AIPW_Se_max
A1C,primary_no_usualcare,PR_MLE_corrected,0.11783085383001263,0.9575999403286803,0.021377673368260533,0.1366895776923919,0.13663852875460408,0.11799360001929385,0.863545597971158,0.02147966634691618,0.02141746974115812,,,,,
A1C,primary_no_usualcare,DR_CF_empirical_m,0.11783085383001263,0.9575999403286803,0.021377673368260533,0.1366895776923919,0.1366329065429508,0.11800488095384103,0.8636636952222485,0.02146019302612259,0.02139709185725229,0.13663290654294064,-0.041795523313791216,-0.0039048153582951425,1.0395446674369218,1.059346434401468
A1C,primary_no_usualcare,DR_CF_structural_m,0.11783085383001263,0.9575999403286803,0.021377673368260533,0.1366895776923919,0.13664083173327013,0.11800286384855613,0.8635988404908405,0.0214710007521298,0.021408180451310974,0.13664083173326738,-0.04760305620266547,-0.004516382739823739,1.039520929313356,1.059322639841385
A1C,full_covariate,PR_MLE_corrected,0.11783085383001263,0.9575999403286803,0.021377673368260533,0.1366895776923919,0.1366517414259428,0.11779285231655055,0.8619930568567788,0.021718889466060314,0.02166153086567684,,,,,
A1C,full_covariate,DR_CF_empirical_m,0.11783085383001263,0.9575999403286803,0.021377673368260533,0.1366895776923919,0.13661383529500765,0.11779618031975396,0.8622565940366265,0.021672566823575327,0.021614510803726984,0.13661383529501367,-0.020304027961915216,-0.004044017023394804,1.0377710261835236,1.0625687034511702
A1C,full_covariate,DR_CF_structural_m,0.11783085383001263,0.9575999403286803,0.021377673368260533,0.1366895776923919,0.1366238877723524,0.11779358927891717,0.8621741863706079,0.021686449082014753,0.021628737632532608,0.13662388777235393,-0.024977371681072724,-0.0047083432301530115,1.0378126956997102,1.062548198666394
FPG,primary_no_usualcare,PR_MLE_corrected,0.1173773744654166,1.0,0.03814479366701065,0.1510448324022685,0.1510448201228876,0.11742733550638061,0.7774337141177275,0.038539423204760295,0.038539423204760295,,,,,
FPG,primary_no_usualcare,DR_CF_empirical_m,0.1173773744654166,1.0,0.03814479366701065,0.1510448324022685,0.15104483262784973,0.11742734669015631,0.7774337237969503,0.03853942656753466,0.03853942656753466,0.15104483262784973,-8.992896419757201e-07,-2.1300697753190434e-07,1.0000009705761517,1.0000009999490398
FPG,primary_no_usualcare,DR_CF_structural_m,0.1173773744654166,1.0,0.03814479366701065,0.1510448324022685,0.15104483217213652,0.11742734674770156,0.7774337265235055,0.038539426018669845,0.03853942601866985,0.1510448321721365,-9.284067142845132e-07,-2.3000537423767398e-07,1.00000097051083,1.0000009977498314
FPG,full_covariate,PR_MLE_corrected,0.1173773744654166,1.0,0.03814479366701065,0.1510448324022685,0.15104484698317228,0.11734745391099244,0.7769047157501903,0.03864769396086206,0.03864769396086206,,,,,
FPG,full_covariate,DR_CF_empirical_m,0.1173773744654166,1.0,0.03814479366701065,0.1510448324022685,0.15104483232531093,0.11734743758927231,0.7769046830846666,0.038647695085039215,0.03864769508503922,0.15104483232531093,-9.371973253013977e-07,-2.1432721038605608e-07,1.0000009719881378,1.000000999946915
FPG,full_covariate,DR_CF_structural_m,0.1173773744654166,1.0,0.03814479366701065,0.1510448324022685,0.15104483188053341,0.11734743761080567,0.7769046855149591,0.038647694590799746,0.03864769459079975,0.15104483188053341,-9.482877185718053e-07,-2.3163220096544813e-07,1.0000009715992213,1.000001
